user_id,match_id,map_id,x,y,z,ts,event,is_bot,date
1470,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,-104.73954,104.63136,-8.123334,1970-01-21 11:51:54.405,BotPosition,True,1970-01-21
1457,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,-24.47958,118.63208,-179.09286,1970-01-21 11:51:54.043,BotPosition,True,1970-01-21
1473,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,160.34229,113.24999,76.41577,1970-01-21 11:51:54.088,BotPosition,True,1970-01-21
1443,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,94.07241,102.81456,87.83107,1970-01-21 11:51:54.022,BotPosition,True,1970-01-21
1447,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,110.43655,104.98032,101.99701,1970-01-21 11:51:54.033,BotPosition,True,1970-01-21
1435,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,-154.98882,113.6916,-266.94876,1970-01-21 11:51:54.118,BotPosition,True,1970-01-21
1457,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,2.484559,106.52162,-4.392528,1970-01-21 11:51:54.168,BotPosition,True,1970-01-21
1450,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,169.10985,103.26632,142.94379,1970-01-21 11:51:54.007,BotPosition,True,1970-01-21
1480,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,186.27895,113.22298,79.189545,1970-01-21 11:51:54.138,BotPosition,True,1970-01-21
1480,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,152.54755,113.24999,73.22456,1970-01-21 11:51:54.163,BotPosition,True,1970-01-21
1457,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,24.079395,106.489105,-0.7189479,1970-01-21 11:51:54.158,BotPosition,True,1970-01-21
1443,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,-21.223167,102.23136,42.78184,1970-01-21 11:51:54.053,BotPosition,True,1970-01-21
1450,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,150.32567,102.45913,135.67812,1970-01-21 11:51:54.012,BotPosition,True,1970-01-21
1467,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,-126.537926,104.99999,-32.479057,1970-01-21 11:51:54.375,BotPosition,True,1970-01-21
1477,ff73c97b-3b34-4836-a8a1-47b2f94dd77c.nakama-0,AmbroseValley,156.61699,113.24999,72.69017,1970-01-21 11:51:54.294,BotPosition,True,1970-01-21
